,regime,MAE,MSE,MAPE,WMAPE,Spearman
stvv_historical,low,0.021663588057540303,0.0005614763309811505,717.1943545720425,447.11133583888125,0.553969007853945
emvv_adapted,low,0.030156098287650267,0.0009879370429245306,998.018806883424,622.3868988492386,0.4368689710395095
mivv_adapted_garch,low,0.030315545424455623,0.0010655548644169942,934.658708972461,625.6777028537911,0.4586714304665608
mivv_adapted_egarch,low,0.03040183678004491,0.001076156352180179,952.8306799198176,627.4586563674194,0.36674435288237534
stvv_historical,medium,0.018551123727541138,0.0007167679808906896,114.92909165173018,89.45074618711635,0.033439321516516074
emvv_adapted,medium,0.022415873059398697,0.0007541231679763687,139.97219722465607,108.08598988653615,0.12416258098032207
mivv_adapted_garch,medium,0.024586951325866194,0.0008858623533913983,155.7356549436284,118.55460482428416,-0.06307004945783731
mivv_adapted_egarch,medium,0.023732294279354867,0.0008398009095976757,149.18793467640677,114.43357627273517,-0.000800530000582746
stvv_historical,high,0.05810610417753786,0.006905280118778636,50.8670734315732,52.92206870046071,0.21529996066523371
emvv_adapted,high,0.06336568769372335,0.010235607953734521,47.777404450078826,57.71240947651606,0.284209179700922
mivv_adapted_garch,high,0.0640793162802556,0.010087703426881959,48.1542537750331,58.36237046800981,0.12869743954403975
mivv_adapted_egarch,high,0.06447733502068495,0.010035220255584096,49.18678654306191,58.72487928568436,0.1268754456375346
